"Quantity","LCSC Part Number","Value","Footprint"
"1","C440891","1x3 screw plug",""
"3","C409127","1x7 screw plug",""
"1","C7543499","FFC Cable",""
"2","C28233","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"1","C440198","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"15","C402231","B5819WS","D_SOD-323_HandSoldering"
"2","C2297","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"1","C2915636","M3","post_m3x5mm"
"3","C46179","1x7_5.08","PhoenixContact_MSTBA_2,5_7-G-5,08_1x07_P5.08mm_Horizontal"
"1","C11075","FFC Connector","AFC11-S24ICC-00"
"1","C441247","IN","PhoenixContact_GMSTBA_2,5_3-G-7,62_1x03_P7.62mm_Horizontal"
"15","C1524870","P6D-04P","P6D-04P"
"1","C17673","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"1","C17713","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"1","C5441728","GX101","SOT-23-6"
