"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","jlc-part-type","lcsc#"
"1","Heatsink","Heatsink","BOM101","1x3 screw plug","","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2303312000_Cixi-Kefa-Elec-KF2EDGK-7-62-3P_C440891.pdf","E","C440891"
"2","Heatsink","Heatsink","BOM102,BOM103,BOM105","1x7 screw plug","","3"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_JILN-JL2EDGK-50807G01_C409127.pdf","E","C409127"
"3","Heatsink","Heatsink","BOM104","FFC Cable","","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2308221406_hanxia-HX-FFC-0-5-24P-100mm_C7543499.pdf","E","C7543499"
"4","Unpolarized capacitor","C","C102,C103","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","~","B","C28233"
"5","Unpolarized capacitor","C","C101","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","B","C440198"
"6","Schottky diode","D_Schottky","D201,D301,D401,D501,D601,D701,D801,D901,D1001,D1101,D1201,D1301,D1401,D1501,D1601","B5819WS","D_SOD-323_HandSoldering","15"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_1912111437_LGE-B5819WS_C402231.pdf","E","C402231"
"7","Light emitting diode","LED","D101,D102","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2"," ","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550724011370958848","B","C2297"
"8","Generic screw terminal, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)","Screw_Terminal_01x07","J102,J103,J104","1x7_5.08","PhoenixContact_MSTBA_2,5_7-G-5,08_1x07_P5.08mm_Horizontal","3"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2408130957_Ningbo-Kangnex-Elec-WJ2EDGRC-5-08-7P_C46179.pdf","E","C46179"
"9","Generic connectable mounting pin connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x24_MountingPin","J105","FFC Connector","AFC11-S24ICC-00","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2212161930_JUSHUO-AFC11-S24ICC-00_C11075.pdf","E","C11075"
"10","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Screw_Terminal_01x03","J101","IN","PhoenixContact_GMSTBA_2,5_3-G-7,62_1x03_P7.62mm_Horizontal","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2303311930_Cixi-Kefa-Elec-KF2EDGRC-7-62-3P_C441247.pdf","E","C441247"
"11","Omron G5Q relay, Miniature Single Pole, SPST-NO, 10A","P6D-04P","K201,K301,K401,K501,K601,K701,K801,K901,K1001,K1101,K1201,K1301,K1401,K1501,K1601","P6D-04P","P6D-04P","15"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2211282300_Omron-Electronics-G6D-1A-ASI-DC24_C32716.pdf","E","C1524870"
"12","Resistor","R","R102","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","B","C17673"
"13","Resistor","R","R101","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","B","C17713"
"14","Digital Temperature Sensor with I2C/SMBus Interface, +/-2° C, one-shot conversion, alert, SOT-23-6","TMP101","U101","GX101","SOT-23-6","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2409280202_GXCAS-GX101S_C5441728.pdf","E","C5441728"
