Designator,Mid X,Mid Y,Layer,Rotation
"C101",11.800,2.600,top,0.000
"C102",-5.000,6.000,top,0.000
"C103",11.800,19.600,top,180.000
"D101",22.800,2.000,top,180.000
"D102",22.800,4.000,top,180.000
"D201",-40.000,0.000,top,180.000
"D301",-32.000,0.000,top,180.000
"D401",-24.000,0.000,top,180.000
"D501",-16.000,0.000,top,180.000
"D601",-8.000,0.000,top,180.000
"D701",0.000,0.000,top,180.000
"D801",4.000,0.000,top,180.000
"D901",9.000,0.000,top,180.000
"D1001",16.000,0.000,top,180.000
"D1101",23.000,0.000,top,180.000
"D1201",-4.000,0.000,top,0.000
"D1301",-12.000,0.000,top,0.000
"D1401",-20.000,0.000,top,0.000
"D1501",-28.000,0.000,top,0.000
"D1601",-36.000,0.000,top,0.000
"J105",7.000,7.000,top,0.000
"R101",19.000,2.000,top,0.000
"R102",19.000,4.000,top,0.000
"U101",11.800,22.400,top,180.000
